Time;P;PJ;V;E;D;GP;GC;Pts;Top Team Scorer;Q;
Hellas Verona  - ITA;18;31;6;8;17;26;44;26;Simone Verdi ;4;
Nott'ham Forest  - ENG;19;32;6;9;17;26;59;27;Brennan Johnson ;8;
Hertha BSC  - GER;18;29;5;7;17;35;59;22;Dodi Lukebakio ;11;
Southampton  - ENG;20;32;6;6;20;27;56;24;James Ward;Prowse ;
Troyes  - FRA;18;31;4;9;18;39;67;21;Mama Samba Baldé ;11;
Ajaccio  - FRA;19;31;6;3;22;22;58;21;Youcef Belaïli Mounaim El Idrissy ;6;
Cremonese  - ITA;19;30;3;10;17;27;54;19;Cyriel Dessers Daniel Ciofani ;6;
Sampdoria  - ITA;20;31;3;8;20;20;52;17;Manolo Gabbiadini ;6;
Elche  - ESP;20;29;2;7;20;20;59;13;Pere Milla ;6;
Angers  - FRA;20;32;3;5;24;25;68;14;Adrien Hunou Sofiane Boufal ;4;
